id,name,slug,title,description,category,rarity,targetValue,iconUrl,isActive,autoAward,manualOnly,isShame,sortOrder,ruleData,ruleComplexity,rulePerformanceScore,lastRuleValidation,createdAt,updatedAt
159,Speed Demon,speed-demon,Speed Demon,Place 10 bets in under 5 minutes,betting,uncommon,10,,t,t,f,f,114,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""fastBetting"": true}}, ""eventKeys"": [""bet:placed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.139,2025-09-06 03:03:40.298
160,Parlay Master,parlay-master,Parlay Master,Win 5 separate 4+ leg parlays,betting,legendary,5,,t,t,f,f,115,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""legCount >="": 4}}, ""eventKeys"": [""parlay:won""], ""unlockWhen"": {""progress >="": 5}}",0,0,,2025-08-23 02:26:08.139,2025-09-06 03:03:40.295
161,Lucky Seven,lucky-seven,Lucky Seven,Win 7 bets in a row,betting,uncommon,7,,t,t,f,f,116,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""won"": false}, ""incrementIf"": {""won"": true}}, ""eventKeys"": [""bet:won"", ""bet:lost"", ""parlay:won"", ""parlay:lost""], ""unlockWhen"": {""progress >="": 7}}",0,0,,2025-08-23 02:26:08.139,2025-09-06 03:03:40.29
162,Weekend Warrior,weekend-warrior,Weekend Warrior,Finish in top 3 on weekend leaderboard,leaderboard,uncommon,3,,t,t,f,f,205,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""rank <="": 25}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 5}}",0,0,,2025-08-23 02:26:08.14,2025-09-06 07:05:15.253
163,Monthly Champion,monthly-champion,Monthly Champion,Finish #1 on monthly leaderboard,leaderboard,legendary,1,,t,t,f,f,206,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""isFirst"": true}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.14,2025-09-06 07:05:15.25
164,Comeback Artist,comeback-artist,Comeback Artist,Rise from bottom 10% to top 10% in a week,leaderboard,rare,1,,t,t,f,f,207,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""and"": [{""previousRank >="": 50}, {""rank <="": 10}, {""isImprovement"": true}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.14,2025-09-06 07:05:15.247
165,Consistency King,consistency-king,Consistency King,Stay in top 10 for 30 consecutive days,leaderboard,legendary,30,,t,t,f,f,208,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""and"": [{""rank <="": 20}, {""winRate >="": 0.6}]}}, ""eventKeys"": [""leaderboard:rank:update""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:26:08.141,2025-09-06 07:05:15.248
166,Prediction Pioneer,prediction-pioneer,Prediction Pioneer,Create your first prediction,prediction,common,1,,t,t,f,f,305,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""prediction:created""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.141,2025-09-06 03:03:40.303
167,Prediction Factory,prediction-factory,Prediction Factory,Create 50 predictions,prediction,rare,50,,t,t,f,f,306,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""prediction:created""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-23 02:26:08.142,2025-09-06 07:00:55.668
168,Viral Predictor,viral-predictor,Viral Predictor,Create a prediction with 500+ bets,prediction,legendary,500,,t,t,f,f,307,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""prediction:bet:placed""], ""unlockWhen"": {""progress >="": 500}}",0,0,,2025-08-23 02:26:08.142,2025-09-06 07:00:55.674
169,Crystal Ball,crystal-ball,Crystal Ball,Have 80%+ accuracy on your created predictions,prediction,legendary,80,,t,t,f,f,308,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""outcome"": ""correct""}}, ""eventKeys"": [""prediction:resolved""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:26:08.142,2025-09-06 07:00:55.67
170,First Words,first-words,First Words,Send your first chat message,chat,common,1,,t,t,f,f,406,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.142,2025-09-06 10:16:04.942
171,Chatterbox,chatterbox,Chatterbox,Send 100 messages in a single day,chat,uncommon,100,,t,t,f,f,407,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:26:08.143,2025-09-06 07:00:55.655
172,Ghost of Chat,ghost-of-chat,Ghost of Chat,Send a message after being inactive in chat for 30+ days,chat,uncommon,30,,t,f,f,f,408,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.143,2025-09-06 07:00:55.664
173,Debate Champion,debate-champion,Debate Champion,Participate in a heated discussion with 20+ back-and-forth messages,chat,uncommon,20,,t,t,f,f,409,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-23 02:26:08.143,2025-09-06 07:00:55.661
174,Emoji Master,emoji-master,Emoji Master,Use 50+ different emojis in your messages,chat,uncommon,50,,t,t,f,f,410,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""emoji:used""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-23 02:26:08.144,2025-09-06 07:00:55.662
175,Daily Visitor,daily-visitor,Daily Visitor,Log in every day for 7 consecutive days,participation,common,7,,t,t,f,f,506,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""visitedToday"": true}}, ""eventKeys"": [""user:visit:daily""], ""unlockWhen"": {""progress >="": 7}}",0,0,,2025-08-23 02:26:08.144,2025-09-06 07:12:11.859
176,Weekly Regular,weekly-regular,Weekly Regular,Log in every day for 30 consecutive days,participation,uncommon,30,,t,t,f,f,507,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""activeThisWeek"": true}}, ""eventKeys"": [""user:visit:weekly""], ""unlockWhen"": {""progress >="": 12}}",0,0,,2025-08-23 02:26:08.144,2025-09-06 07:12:11.864
177,Profile Perfectionist,profile-perfectionist,Profile Perfectionist,"Complete your profile with bio, location, and avatar",participation,common,1,,t,t,f,f,508,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""user:profile:updated""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:26:08.145,2025-09-06 07:12:11.862
178,Social Butterfly,social-butterfly,Social Butterfly,Follow 25 other users,participation,uncommon,25,,t,t,f,f,509,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""user:social:action""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-23 02:26:08.145,2025-09-06 07:12:11.863
179,Influence Peddler,influence-peddler,Influence Peddler,Have 100+ users follow you,participation,rare,100,,t,t,f,f,510,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""followerCount >="": 50}}, ""eventKeys"": [""user:followers:update""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.145,2025-09-06 07:12:11.861
184,Meme Legend,meme-legend,Meme Legend,Create content that becomes a community inside joke,secret,secret,1,,t,f,t,f,705,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""chat:message:sent""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.147,2025-09-06 07:08:18.113
185,Easter Egg Hunter,easter-egg-hunter,Easter Egg Hunter,Discover a hidden feature in the platform,secret,secret,1,,t,f,t,f,706,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""action"": ""easter_egg_found""}}, ""eventKeys"": [""admin:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.147,2025-09-06 07:08:18.112
186,Dev Whisperer,dev-whisperer,Dev Whisperer,Successfully suggest a feature that gets implemented,secret,secret,1,,t,f,t,f,707,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""action"": ""dev_interaction""}}, ""eventKeys"": [""admin:action""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.148,2025-09-06 07:08:18.11
187,First Blood,pong-first-blood,First Blood,Win your first Pong match.,pong,common,1,,t,t,f,f,401,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.148,2025-08-31 23:55:14.555
188,Table Regular,pong-10-wins,Table Regular,Win 10 Pong matches.,pong,common,10,,t,t,f,f,402,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:26:08.148,2025-08-31 23:55:14.571
189,Spin Doctor,pong-50-wins,Spin Doctor,Win 50 Pong matches.,pong,rare,50,,t,t,f,f,403,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 50}}",0,0,,2025-08-23 02:26:08.149,2025-08-31 23:55:14.572
190,Arcade Royalty,pong-100-wins,Arcade Royalty,Win 100 Pong matches.,pong,legendary,100,,t,t,f,f,404,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-23 02:26:08.149,2025-08-31 23:55:14.572
191,Grinder,pong-100-matches,Grinder,Play 100 Pong matches.,pong,common,100,,t,t,f,f,410,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 100}}",0,0,,2025-08-23 02:26:08.149,2025-08-31 23:55:14.573
192,Marathoner,pong-500-matches,Marathoner,Play 500 Pong matches.,pong,rare,500,,t,t,f,f,411,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 500}}",0,0,,2025-08-23 02:26:08.15,2025-08-31 23:55:14.573
193,Endless Rally,pong-1000-matches,Endless Rally,Play 1000 Pong matches.,pong,legendary,1000,,t,t,f,f,412,"{""progress"": {""kind"": ""count"", ""incrementIf"": {}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 1000}}",0,0,,2025-08-23 02:26:08.15,2025-08-31 23:55:14.574
194,Hot Hands I,pong-streak-3,Hot Hands I,Win 3 matches in a row.,pong,common,3,,t,t,f,f,420,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""loserId"": ""$.userId""}, ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 3}}",0,0,,2025-08-23 02:26:08.15,2025-08-31 23:55:14.574
195,Hot Hands II,pong-streak-5,Hot Hands II,Win 5 matches in a row.,pong,rare,5,,t,t,f,f,421,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""loserId"": ""$.userId""}, ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 5}}",0,0,,2025-08-23 02:26:08.15,2025-08-31 23:55:14.575
196,Inferno,pong-streak-10,Inferno,Win 10 matches in a row.,pong,legendary,10,,t,t,f,f,422,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""loserId"": ""$.userId""}, ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:26:08.151,2025-08-31 23:55:14.575
197,Unstoppable,pong-streak-20,Unstoppable,Win 20 matches in a row.,pong,legendary,20,,t,t,f,f,423,"{""progress"": {""kind"": ""streak"", ""resetIf"": {""loserId"": ""$.userId""}, ""incrementIf"": {""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed"", ""pong:match:lost""], ""unlockWhen"": {""progress >="": 20}}",0,0,,2025-08-23 02:26:08.151,2025-08-31 23:55:14.576
198,Perfect Game,pong-perfect-11-0,Perfect Game,Win 5–0.,pong,legendary,1,"",t,t,f,f,430,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""winnerId"": ""$.userId"", ""loserScore"": 0, ""winnerScore"": 5}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:26:08.151,2025-09-06 22:35:38.287
289,Pong Comeback King,pong-comeback-king,Pong Comeback King,Win a close match (5-4 comeback).,pong,legendary,1,,t,t,f,f,431,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""comeback"": true, ""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.631,2025-08-31 23:55:14.577
290,Wall Builder,pong-wall-builder,Wall Builder,Hold opponent to ≤2 points.,pong,rare,1,,t,t,f,f,432,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""winnerId"": ""$.userId"", ""defensiveWin"": true}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.632,2025-08-31 23:55:14.577
291,Speedrunner,pong-speedrunner,Speedrunner,Win a match in under 60 seconds.,pong,rare,1,,t,t,f,f,433,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""winnerId"": ""$.userId"", ""duration <="": 60000}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.632,2025-08-31 23:55:14.578
292,Bot Breaker: Easy,pong-ai-easy,Bot Breaker: Easy,Beat Easy AI.,pong,common,1,,t,t,f,f,440,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""vsAI"": true, ""winnerId"": ""$.userId"", ""aiDifficulty"": ""EASY""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.632,2025-08-31 23:55:14.578
293,Bot Breaker: Medium,pong-ai-medium,Bot Breaker: Medium,Beat Medium AI.,pong,common,1,,t,t,f,f,441,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""vsAI"": true, ""winnerId"": ""$.userId"", ""aiDifficulty"": ""MEDIUM""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.633,2025-08-31 23:55:14.578
294,Bot Breaker: Hard,pong-ai-hard,Bot Breaker: Hard,Beat Hard AI.,pong,rare,1,,t,t,f,f,442,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""vsAI"": true, ""winnerId"": ""$.userId"", ""aiDifficulty"": ""HARD""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.633,2025-08-31 23:55:14.579
295,Bot Breaker: Impossible,pong-ai-impossible,Bot Breaker: Impossible,Beat Impossible AI.,pong,legendary,1,,t,t,f,f,443,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""vsAI"": true, ""winnerId"": ""$.userId"", ""aiDifficulty"": ""IMPOSSIBLE""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.634,2025-08-31 23:55:14.58
296,Pong High Stakes I,pong-highroller-1k,Pong High Stakes I,"Win with a wager ≥ 1,000.",pong,common,1,,t,t,f,f,450,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""wager >="": 1000, ""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.634,2025-08-31 23:55:14.58
297,Pong High Stakes II,pong-highroller-10k,Pong High Stakes II,"Win with a wager ≥ 10,000.",pong,rare,1,,t,t,f,f,451,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""wager >="": 10000, ""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.635,2025-08-31 23:55:14.581
298,Pong High Stakes III,pong-highroller-50k,Pong High Stakes III,"Win with a wager ≥ 50,000.",pong,legendary,1,,t,t,f,f,452,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""wager >="": 50000, ""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.635,2025-08-31 23:55:14.582
299,Pong High Stakes IV,pong-highroller-100k,Pong High Stakes IV,"Win with a wager ≥ 100,000.",pong,legendary,1,,t,t,f,f,453,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""wager >="": 100000, ""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.636,2025-08-31 23:55:14.582
300,Gold Threshold,pong-elo-1400,Gold Threshold,Reach Elo 1400.,pong,common,1400,,t,t,f,f,460,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""milestone"": 1400}}, ""eventKeys"": [""pong:elo:milestone""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.636,2025-08-31 23:55:14.583
301,Platinum Threshold,pong-elo-1800,Platinum Threshold,Reach Elo 1800.,pong,rare,1800,,t,t,f,f,461,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""milestone"": 1800}}, ""eventKeys"": [""pong:elo:milestone""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.636,2025-08-31 23:55:14.583
302,Diamond Threshold,pong-elo-2200,Diamond Threshold,Reach Elo 2200.,pong,legendary,2200,,t,t,f,f,462,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""milestone"": 2200}}, ""eventKeys"": [""pong:elo:milestone""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.637,2025-08-31 23:55:14.584
303,Master Threshold,pong-elo-2600,Master Threshold,Reach Elo 2600.,pong,legendary,2600,,t,t,f,f,463,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""milestone"": 2600}}, ""eventKeys"": [""pong:elo:milestone""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.637,2025-08-31 23:55:14.584
304,Grandmaster,pong-elo-3000,Grandmaster,Reach Elo 3000.,pong,legendary,3000,,t,t,f,f,464,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""milestone"": 3000}}, ""eventKeys"": [""pong:elo:milestone""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.638,2025-08-31 23:55:14.585
305,Freeplay Enthusiast,pong-freeplay-enthusiast,Freeplay Enthusiast,Win 10 freeplay matches.,pong,common,10,,t,t,f,f,470,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""wager"": 0, ""winnerId"": ""$.userId""}}, ""eventKeys"": [""pong:match:completed""], ""unlockWhen"": {""progress >="": 10}}",0,0,,2025-08-23 02:27:38.638,2025-08-31 23:55:14.585
306,Cable Pulled,pong-ragequit-shame,Cable Pulled,Forfeit 3 matches by disconnect.,pong,shame,3,,t,t,f,t,498,"{""progress"": {""kind"": ""count"", ""incrementIf"": {""loserId"": ""$.userId"", ""ragequit"": true}}, ""eventKeys"": [""pong:match:lost""], ""unlockWhen"": {""progress >="": 3}}",0,0,,2025-08-23 02:27:38.638,2025-08-31 23:55:14.586
307,Whiff Wizard,pong-bot-loss-shame,Whiff Wizard,Lose to Easy AI twice in a row.,pong,shame,2,,t,t,f,t,499,"{""progress"": {""kind"": ""binary"", ""incrementIf"": {""vsAI"": true, ""loserId"": ""$.userId""}}, ""eventKeys"": [""pong:match:lost""], ""unlockWhen"": {""progress >="": 1}}",0,0,,2025-08-23 02:27:38.639,2025-08-31 23:55:14.586
